id,errors-question1,errors-question2,errors-question3,errors-question4
20170106215,0,0,0,3
20170159780,0,0,0,3
11426766,1,0,0,0
11414539,1,2,0,0
20170195270,1,0,0,3
20170102842,0,2,0,3
20170026393,1,2,0,0
20170028496,0,1,0,0
20170021379,3,0,0,0
20170143596,0,2,1,2
20170104800,0,0,0,2
20160125683,0,0,2,0
20170009131,0,0,3,0
20160159476,0,1,0,2
20160129584,2,1,1,2
20170024236,0,0,2,1
11414029,0,0,3,0
20170101531,1,2,0,0
20170006659,3,0,2,2
20170130613,0,0,1,0
20170143792,0,0,3,0
20180162773,0,0,1,1
20160111730,0,2,1,1
20170059957,1,2,0,2
20170103634,0,0,0,0
20170003110,0,0,0,1
20170157804,0,1,3,2
20170159021,2,2,2,0
20170107580,2,0,0,2
20170108640,0,1,1,2
20170138498,2,0,0,0
20170105361,0,0,3,1
20170104480,0,0,1,0
20170026419,0,0,0,0
